topic,n_poetry,n_prose,share_poetry_in_corpus,share_prose_in_corpus,ratio_poetry_over_prose
187,0,24,0.0,0.001643047853768741,0.0
214,0,17,0.0,0.0011638255630861914,0.0
350,0,9,0.0,0.0006161429451632779,0.0
357,0,7,0.0,0.00047922229068254944,0.0
105,0,29,0.0,0.001985349489970562,0.0
261,0,13,0.0,0.0008899842541247347,0.0
22,0,69,0.0,0.00472376257958513,0.0
255,0,10,0.0,0.0006846032724036421,0.0
12,0,87,0.0,0.005956048469911686,0.0
136,0,26,0.0,0.0017799685082494695,0.0
101,0,29,0.0,0.001985349489970562,0.0
286,0,26,0.0,0.0017799685082494695,0.0
134,0,12,0.0,0.0008215239268843705,0.0
204,0,11,0.0,0.0007530635996440063,0.0
140,0,26,0.0,0.0017799685082494695,0.0
224,0,16,0.0,0.0010953652358458273,0.0
222,0,22,0.0,0.0015061271992880126,0.0
17,0,46,0.0,0.0031491750530567536,0.0
190,0,21,0.0,0.0014376668720476485,0.0
81,0,33,0.0,0.002259190798932019,0.0
283,0,17,0.0,0.0011638255630861914,0.0
173,0,20,0.0,0.0013692065448072841,0.0
73,0,51,0.0,0.0034914766892585746,0.0
342,0,10,0.0,0.0006846032724036421,0.0
91,0,24,0.0,0.001643047853768741,0.0
14,0,74,0.0,0.005066064215786951,0.0
156,0,21,0.0,0.0014376668720476485,0.0
63,0,32,0.0,0.0021907304716916546,0.0
211,0,18,0.0,0.0012322858903265558,0.0
256,0,15,0.0,0.0010269049086054631,0.0
257,0,21,0.0,0.0014376668720476485,0.0
168,0,22,0.0,0.0015061271992880126,0.0
92,0,30,0.0,0.0020538098172109263,0.0
270,0,11,0.0,0.0007530635996440063,0.0
90,0,26,0.0,0.0017799685082494695,0.0
316,0,15,0.0,0.0010269049086054631,0.0
